,rank,name,year,rating,decade
0,21,It's a Wonderful Life,1946,8.6,1940
1,5,12 Angry Men,1957,9.0,1950
2,23,Seven Samurai,1954,8.6,1950
3,10,"The Good, the Bad and the Ugly",1966,8.8,1960
4,2,The Godfather,1972,9.2,1970
5,4,The Godfather Part II,1974,9.0,1970
6,19,One Flew Over the Cuckoo's Nest,1975,8.7,1970
7,15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1980
8,1,The Shawshank Redemption,1994,9.3,1990
9,7,Schindler's List,1993,9.0,1990
10,8,Pulp Fiction,1994,8.9,1990
11,11,Forrest Gump,1994,8.8,1990
12,13,Fight Club,1999,8.8,1990
13,3,The Dark Knight,2008,9.0,2000
14,6,The Lord of the Rings: The Return of the King,2003,9.0,2000
15,9,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2000
16,12,The Lord of the Rings: The Two Towers,2002,8.8,2000
17,25,City of God,2002,8.6,2000
18,14,Inception,2010,8.8,2010
19,18,Interstellar,2014,8.7,2010
